date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2021-01-04",utla,E06000044,Portsmouth,225
"2020-07-30",utla,E08000003,Manchester,29
"2021-01-03",utla,E06000044,Portsmouth,166
"2020-05-21",utla,S12000038,Renfrewshire,11
"2020-07-06",utla,S12000039,West Dunbartonshire,0
"2020-07-29",utla,E08000003,Manchester,40
"2020-10-21",utla,E10000017,Lancashire,996
"2021-01-02",utla,E06000044,Portsmouth,182
"2020-07-21",utla,E06000040,Windsor and Maidenhead,0
"2020-09-21",utla,N09000003,Belfast,40
"2020-07-28",utla,E08000003,Manchester,35
"2021-01-01",utla,E06000044,Portsmouth,88
"2020-12-31",utla,E06000044,Portsmouth,182
"2020-12-30",utla,E06000044,Portsmouth,200
"2020-10-20",utla,E10000017,Lancashire,926
"2020-12-29",utla,E06000044,Portsmouth,287
"2020-07-23",utla,N09000007,Lisburn and Castlereagh,1
"2020-07-04",utla,W06000014,Vale of Glamorgan,0
"2021-01-12",utla,E06000037,West Berkshire,84
"2020-12-28",utla,E06000044,Portsmouth,205
"2020-07-22",utla,N09000007,Lisburn and Castlereagh,4
"2020-10-11",utla,E06000009,Blackpool,52
"2020-07-21",utla,N09000007,Lisburn and Castlereagh,0
"2020-07-03",utla,W06000014,Vale of Glamorgan,1
"2020-07-20",utla,N09000007,Lisburn and Castlereagh,1
"2020-07-19",utla,N09000007,Lisburn and Castlereagh,0
"2020-04-23",utla,S12000008,East Ayrshire,6
"2020-07-02",utla,W06000014,Vale of Glamorgan,1
"2020-04-22",utla,S12000008,East Ayrshire,8
"2020-07-01",utla,W06000014,Vale of Glamorgan,2
"2020-04-21",utla,S12000008,East Ayrshire,10
"2020-07-18",utla,N09000007,Lisburn and Castlereagh,0
"2020-06-30",utla,W06000014,Vale of Glamorgan,2
"2020-07-17",utla,N09000007,Lisburn and Castlereagh,0
"2020-06-29",utla,W06000014,Vale of Glamorgan,1
"2020-07-16",utla,N09000007,Lisburn and Castlereagh,0
"2020-06-28",utla,W06000014,Vale of Glamorgan,0
"2020-05-20",utla,S12000038,Renfrewshire,4
"2020-06-27",utla,W06000014,Vale of Glamorgan,1
"2020-07-15",utla,N09000007,Lisburn and Castlereagh,1
"2020-05-19",utla,S12000038,Renfrewshire,6
"2020-06-26",utla,W06000014,Vale of Glamorgan,0
"2020-07-14",utla,N09000007,Lisburn and Castlereagh,0
"2020-05-18",utla,S12000038,Renfrewshire,10
"2020-06-25",utla,W06000014,Vale of Glamorgan,1
"2020-05-17",utla,S12000038,Renfrewshire,5
"2020-07-13",utla,N09000007,Lisburn and Castlereagh,0
"2020-06-24",utla,W06000014,Vale of Glamorgan,0
"2020-05-16",utla,S12000038,Renfrewshire,12
"2020-05-04",utla,W06000023,Powys,1
"2020-05-15",utla,S12000038,Renfrewshire,11
"2020-05-03",utla,W06000023,Powys,0
"2020-05-02",utla,W06000023,Powys,10
"2020-06-23",utla,W06000014,Vale of Glamorgan,1
"2020-05-01",utla,W06000023,Powys,4
"2020-06-22",utla,W06000014,Vale of Glamorgan,7
